|Year|Games|Num_Awards|Num_Nominated|Awarded|nominated|Won_Game_of_the_Year|Developer(s)|Publisher(s)|Engine|Platform(s)|Release|Genre(s)|Mode(s)|Series
8867|2013|Tekken Revolution|0|1|0|Best Fighting Game|0|Red Fly Studio|Activision|Unreal Engine 3|PlayStation 3Xbox 360Microsoft Windows[1]|24|Action-adventure|Single-player, multiplayer[1][3]|Teenage Mutant Ninja Turtles
8868|2013|Teleglitch|0|0|0|0|0|Namco Bandai Games|Namco Bandai Games||PlayStation 3|34|Fighting|Single-player, multiplayer|Tekken
8869|2013|Temple Run 2|0|0|0|0|0|Test3 Projects|Paradox Interactive||WindowsMac OS XLinux|39|Action|Single-player|
8870|2013|Teslagrad|0|0|0|0|0|Imangi Studios|Imangi Studios|Unity[1]|iOS, Android, Windows Phone, Tizen|1|Endless runner|Single-player|Temple Run
8871|2013|Tetris Blitz|0|0|0|0|0|Rain Games|Rain Games|Unity|Microsoft Windows, OS X, Linux, Nintendo Switch, Wii U, PlayStation 3, PlayStation 4, PlayStation Vita, Xbox One, Android, iOS|1|Puzzle-platformer|Single-player|
8872|2013|The Hobbit: Armies of The Third Age|0|0|0|0|0|EA Salt Lake|Electronic Arts||Android, Windows Phone, iOS|30|Puzzle|Single-player, multiplayer|
8873|2013|THUG Pro|0|0|0|0|0||Warner Bros. Interactive Entertainment||Facebook, Web browser|18|Strategy|Multiplayer|
8874|2013|Timelines: Assault on America|0|0|0|0|0||||Microsoft Windows|44|Extreme sports|Single-player, multiplayer|Tony Hawk's Pro Skater
8875|2013|Tiny Thief|0|0|0|0|0|4Flash Interactive|Strategy First|Horde3D (graphics),GLFW (OpenGL toolkit)|Microsoft Windows, Mac OS X, Linux, SteamOS, iOS, Android|9|Real-time strategy|Single-player, co-op, multiplayer|
8876|2013|Title Bout Championship Boxing|0|0|0|0|0|5AntsAbylight (Wii U port)|Rovio Stars JP: Nintendo (Wii U)||Android, iOS, Microsoft Windows, OS X, Wii U|39|Point and click adventure game||
8877|2013|Toast Time|0|0|0|0|0||P.I.S.D. Ltd||Mac OS X, Windows, Linux|34|Sports simulation (boxing)|Single player|
8878|2013|Toki Tori 2|0|0|0|0|0||Force Of Habit||Linux, OS X, Windows, Android, iOS|9|Shooter||
8879|2013|Tom Clancy's Splinter Cell: Blacklist|0|0|0|0|0|Two Tribes B.V.|Two Tribes B.V. Rainy FrogJP [1]||Wii U, PlayStation 4, Nintendo Switch, Microsoft Windows, OS X, Linux|1|Platform, puzzle, Metroidvania[2]|Single Player|
8880|2013|Tomb Raider (2013 video game)|0|0|0|0|0|Ubisoft Toronto|Ubisoft|Unreal Engine 2.5[1]|Microsoft WindowsPlayStation 3Wii UXbox 360|44|Action-adventure, stealth|Single-player, multiplayer|Tom Clancy's Splinter Cell
8881|2013|Tomodachi Life|0|1|0|Best Family Game|0|Crystal Dynamics[a]|Square Enix||Microsoft WindowsPlayStation 3Xbox 360OS XPlayStation 4Xbox OneLinuxShield TVGoogle Stadia|1|Action-adventure|Single-player, multiplayer|Tomb Raider
8882|2013|Total War: Rome II|0|0|0|0|0|Nintendo SPD|Nintendo||Nintendo 3DS|24|Life simulation|Single-player|
8883|2013|Toukiden: The Age of Demons|0|0|0|0|0|The Creative Assembly|Sega|Warscape|Microsoft Windows, OS X|51|Turn-based strategy, real-time tactics|Single-player, multiplayer|Total War
8884|2013|Tour de France 2013: 100 Edition|0|0|0|0|0|Omega Force|Tecmo Koei Games||ToukidenPlayStation PortablePlayStation VitaToukiden: KiwamiPlayStation PortablePlayStation VitaPlayStation 4Microsoft Windows|9|Action role-playing|Single-player, multiplayer|
8885|2013|Tower of Saviors|0|0|0|0|0||Focus Home Interactive||PlayStation 3, Xbox 360|2013||Single-player|Tour de France series
8886|2013|TowerFall|0|0|0|0|0|Mad Head Limited|||iOS, Android|2013|Puzzle, RPG||
8887|2013|Township (video game)|0|0|0|0|0|Matt Makes Games|Matt Makes Games|Microsoft XNA|Android, PlayStation 4, Windows, Linux, OS X, PlayStation Vita, Xbox One, Nintendo Switch, Ouya|1|Action|Single-player, multiplayer|
8888|2013|Toy Story: Smash It!|0|0|0|0|0|Playrix [1]|Playrix [2]||iOS, Android, Mac OS X, Facebook (Adobe Flash)|9|Construction and management simulation, city-building||
8889|2013|Transformers: Human Alliance (video game)|0|0|0|0|0||||"
iOS
Android
"|9||Single-player|
8890|2013|TurtleStrike|0|0|0|0|0||||Arcade|2013|||
8891|2013|Type:Rider|0|0|0|0|0|eeGon Games [1]|||iOSAndroid|39|Strategy, turn-based tactics, turn-based strategy, wargame|Multiplayer|
8892|2013|Ultima Forever: Quest for the Avatar|0|0|0|0|0|Agat Films & Cie – Ex Nihilo|BulkypixArte||Microsoft WindowsPlayStation 4PlayStation VitaAndroidiOSNintendo Switch|24|PlatformerPuzzle|Single-player|
8893|2013|Ultratron|0|0|0|0|0|Mythic EntertainmentEscalation Studios|Electronic Arts||iOS|44|Action role-playing game|Multiplayer|
8894|2013|Unearthed: Trail of Ibn Battuta|0|0|0|0|0|Puppy Games|Puppy Games, Curve Studios||Windows, Mac OS X, Linux, PS3, PS4, Vita, Wii U, Xbox One|18|Top-down shooter|Single-player |
8895|2013|Urban Trial Freestyle|0|0|0|0|0|Semaphore|Semanoor International|Unity|Microsoft Windows, Mac OS X, iOS, PlayStation 3, Ouya,   Android|1|Action-adventure|Single-player|
8896|2013|Uta no Prince-sama|0|0|0|0|0||Tate Interactive||Nintendo 3DSiOSPCPlayStation 3PlayStation Vita|9|Racing|Single-player|
8897|2013|Valdis Story: Abyssal City|0|0|0|0|0||||||||
8898|2013|Valhalla Knights 3|0|0|0|0|0|Endless Fluff|Endless Fluff||Microsoft Windows, OS X|61|Platform-adventure, Role-playing video game, Metroidvania[1]|Single-player|
8899|2013|Volgarr the Viking|0|0|0|0|0|K2 LLC|JP: Marvelous AQLNA: XSEED Games[1]|Orochi 3|PlayStation Vita|9|RPG|Single-player, multiplayer|Valhalla Knights
8900|2013|VS. Racing 2|0|0|0|0|0|Crazy Viking Studios|Adult Swim Games (PC)Crazy Viking Studios (XONE, PS4, PSV)||Windows, OS X, Linux, Xbox One, PlayStation 4, PlayStation Vita, Wii U, Nintendo Switch, Dreamcast|51|Action platformer|Single-player|
8901|2013|Wadanohara and the Great Blue Sea|0|0|0|0|0|Maciek Drejak Labs|Maciek Drejak Labs||iOS|51|Racing|Single-player, multiplayer|
8902|2013|The Walking Dead: Season Two|0|2|0|['Best Narrative', 'Best Performance']|0|Deep-Sea Prisoner||RPG Maker 2003|Windows|78|Fantasy|Single-player|
8903|2013|The Walking Dead: Survival Instinct|0|0|0|0|0|Telltale Games|Telltale Games|Telltale Tool|Microsoft Windows, OS X, PlayStation 3, Xbox 360, iOS, PlayStation Vita, PlayStation 4, Xbox One, Nintendo Switch, Ouya, Android|18|Graphic adventureInteractive movie|Single-player|The Walking Dead
8904|2013|Walking with Dinosaurs (video game)|0|0|0|0|0|Terminal Reality|Activision|Infernal Engine[1]|Microsoft Windows, PlayStation 3, Wii U, Xbox 360|18|First-person shooter|Single-player|The Walking Dead
8905|2013|Wanderer: War Song|0|0|0|0|0|Supermassive Games|Sony Computer Entertainment||PlayStation 3|69|Augmented reality|Single-player|Walking with Dinosaurs
8906|2013|War Thunder|0|0|0|0|0|WSITech|WSITech||iOS|9|Adventure||
8907|2013|Warface|0|0|0|0|0|Gaijin Entertainment|Gaijin EntertainmentTencent Games (China)|Dagor Engine|Microsoft WindowsmacOSLinux[1]PlayStation 4[2]Xbox One[3][4]|1|Action, vehicular combat, combat flight simulator|Single-player, multiplayer|
8908|2013|Warframe|0|1|0|Best Ongoing Game|0|Crytek Kiev[a]Blackwood Games (2019-present)|My.comMicrosoft Studios (X360)|CryEngine V|Microsoft Windows, PlayStation 4, Xbox 360,[1] Xbox One|24|First-person shooter|Multiplayer|
8909|2013|Wargame: AirLand Battle|0|0|0|0|0|Digital Extremes|Digital Extremes|Evolution|Microsoft Windows, PlayStation 4, Xbox One, Nintendo Switch|18|Action role-playing|Single-player, multiplayer|
8910|2013|Wii Fit U|0|0|0|0|0|Eugen Systems|Focus Home Interactive|IRISZOOM V3|Microsoft Windows, OS/X, Linux|30|Real-time tactics|Single-player, multiplayer|
8911|2013|Wii Party U|0|0|0|0|0|Nintendo EADGanbarion[1]|Nintendo|Wii Fit |Wii U|61|Exergaming|Single-player|Wii
8912|2013|Wii Sports Club|0|0|0|0|0|NDcubeNintendo SPD|Nintendo||Wii U|30|Party|Single-player, multiplayer|Wii
8913|2013|The Witch and the Hundred Knight|0|0|0|0|0|Bandai Namco Studios[1]Nintendo EAD|Nintendo||Wii U|34|Sports|Single-player, multiplayer|Wii
8914|2013|Wizardry Online|0|0|0|0|0|Nippon Ichi Software|JP: Nippon Ichi SoftwareWW: NIS America|PhyreEngine|PlayStation 3, PlayStation 4|18|Action role-playing game|Single-player|
8915|2013|The Wolf Among Us|0|2|0|['Best Narrative', 'Best Performance']|0|Gamepot|Sony Online Entertainment||Microsoft Windows|1|Massively multiplayer online role-playing game||Wizardry
8916|2013|The Wonderful 101|0|1|0|Best Nintendo Game|0|Telltale Games|Telltale Games|Telltale Tool|"
Android
iOS[2]
Microsoft Windows[3]
OS X[3]
PlayStation 3[3]
PlayStation 4
PlayStation Vita[2]
Xbox 360[3]
Xbox One
"|9|Graphic adventureInteractive movie|Single-player|Fables
8917|2013|Word Realms|0|0|0|0|0|PlatinumGames|Nintendo||Wii U|44|Action-adventure, hack and slash|Single-player, multiplayer|
8918|2013|World of Warplanes|0|0|0|0|0|Asymmetric Publications|Asymmetric Publications||Linux, Mac OS, Microsoft Windows|30|role-playing game, puzzle game|Single-player|
8919|2013|World Series of Poker: Full House Pro|0|0|0|0|0|Persha Studia|Wargaming||Microsoft Windows, macOS|69|Action, MMO|Multiplayer|
