|Year|Games|Num_Awards|Num_Nominated|Awarded|nominated|Won_Game_of_the_Year|Developer(s)|Publisher(s)|Engine|Platform(s)|Release|Genre(s)|Mode(s)|Series
5820|2009|Uncharted 2: Among Thieves|3|5|['Game of the Year', 'Best PS3 Game', 'Best Graphics']|['Game of the Year', 'Best PS3 Game', 'Best Action Adventure Game', 'Best Original Score', 'Best Graphics']|1|Naughty Dog|Sony Computer Entertainment|||October|Action-adventure, platformer, third-person shooter|Single-player, multiplayer|Uncharted
5856|2009|Wii Sports Resort|0|2|0|['Best Wii Game', 'Best Individual Sports Game']|0|Nintendo EAD Group No. 2|Nintendo|||June|Sports|Single-player, multiplayer|Wii
5906|2010|Alan Wake|0|1|0|Best Xbox 360 Game|0|Remedy Entertainment[a]|Microsoft Game StudiosRemedy Entertainment (PC)|||February|Action-adventure|Single-player|
5938|2010|Assassin's Creed: Brotherhood|2|1|['Best Action Adventure Game', 'Best Dressed Assassin']|Best Action Adventure Game|0|Ubisoft Montreal|Ubisoft|Anvil||March|Action-adventure, stealth|Single-player, multiplayer|Assassin's Creed
5947|2010|Back to the Future: The Game|0|1|0|Best Adapted Video Game|0|Telltale Games|Telltale Games|Telltale Tool||January|Graphic adventure|Single-player|Back to the Future
5958|2010|Battlefield: Bad Company 2|0|2|0|['Best Shooter', 'Best Multiplayer']|0|EA DICEColdwood Interactive (PC)|Electronic Arts|Frostbite 1.5[3][4]||March|First-person shooter|Single-player, multiplayer|Battlefield
5968|2010|BioShock 2|0|2|0|['Most Anticipated Game of 2010', 'Best Shooter']|0|2K Marin|2K Games|Unreal Engine 2.5||February|First-person shooter|Single-player, multiplayer|BioShock
5969|2010|BioShock 2: Minerva's Den|0|1|0|Best DLC|0|2K Marin|2K Games|Unreal Engine 2.5||March|First-person shooter|Single-player|BioShock
5992|2010|Call of Duty: Black Ops|2|3|['Best Shooter', 'Character of the Year']|['Game of the Year', 'Best Shooter', 'Best Multiplayer']|0|Treyarch[a]|Activision|IW 3.0||September|First-person shooter|Single-player, multiplayer|Call of Duty
6020|2010|Costume Quest|1|1|Best Downloadable Game|Best Downloadable Game|0|Double Fine Productions|Double Fine ProductionsTHQ (consoles until 2013)|||March|Role-playing|Single-player|
6060|2010|Def Jam Rapstar|0|1|0|Best Music Game|0|4mm Games|Konami[1]|||October|Music, Simulation|Single-player, multiplayer|
6073|2010|DJ Hero 2|1|2|Best Soundtrack|['Best Music Game', 'Best Soundtrack']|0|FreeStyleGames|Activision|||October|Music, Rhythm|Single-player, multiplayer|Hero
6084|2010|Donkey Kong Country Returns|0|1|0|Best Wii Game|0|Retro Studios|Nintendo|||January|Platformer|Single-player, multiplayer|Donkey Kong
6106|2010|EA Sports MMA|0|1|0|Best Individual Sports Game|0|EA Tiburon|EA Sports|||October|Mixed martial arts||
6113|2010|Epic Mickey|0|1|0|Best Wii Game|0|Junction Point Studios|Disney Interactive Studios JP: Nintendo|Gamebryo||August|Platform|Single-player|
6121|2010|Fable III|0|2|0|['Best Xbox 360 Game', 'Best RPG']|0|Lionhead Studios|Microsoft Game Studios|||May|Action role-playing|Single-player, multiplayer|Fable
6124|2010|Fallout: New Vegas|0|2|0|['Best PC Game', 'Best RPG']|0|Obsidian Entertainment|Bethesda Softworks|Gamebryo||October|Action role-playing|Single-player|Fallout
