|Developer(s)|Publisher(s)|Engine|Platform(s)|Release|Genre(s)|Mode(s)|Series
10099|Monolith Soft[a]|Nintendo|||April|Action role-playing|Single-player, multiplayer|Xeno (main)Xenoblade Chronicles (sub-series)
10100|Ryu Ga Gotoku Studio[a]|Sega|||January|Action-adventure|Single-player, multiplayer|Yakuza
10101|Level-5|JP: Level-5WW: Nintendo|||July|Role-playing|Single-player, multiplayer|Yo-kai Watch
10102|Nippon Ichi Software|JP: Nippon Ichi SoftwareNA / EU: NIS AmericaAS: Sega (Switch)|||October|Survival horror|Single-player |
10103|Good-Feel|Nintendo|||January|Platform|Single-player, multiplayer|Yoshi
10104|EightyEight Games LTD||||June|puzzle, role-playing|Single player|
10105|Minato Soft|||Windows||Visual novel||
10106||Kobojo|Unity[2]||November|Role-playing|Single-player, multiplayer|
10107|Rebellion Developments|Rebellion DevelopmentsSold Out (retail)|||March|Tactical shooter, survival horror|Single-player, multiplayer|Sniper Elite
10108|ZeroBit Games||||Windows: 2015PS4: 2016|Action video game|Single player|
10109|The Fun Pimps|The Fun PimpsThe Fun Pimps (consoles)|Unity||June|Survival horror|Single-player, multiplayer|
10110|OtomateToybox Inc.|JP: Idea FactoryNA/EU: Aksys Games|||May|Visual novel|Single-player|
10111|Petroglyph Games[1]|Petroglyph Games|||April|Real-time strategy|Single-player, multiplayer|
10112|Petroglyph Games[1]|Petroglyph Games|||August|Real-time strategy|Single-player, multiplayer|
10113|Four Circle Interactive(PC & PS Vita)[1]GameDesignDan(PS4 & Xbox One)[2]|Curve Digital|GameMaker Studio||July|ActionPlatformer[3]Puzzle[4]|Single-player|
10114|QuByte Interactive|QuByte Interactive|Unity||July|Beat 'em up|Single-player, multiplayer|
10115|No Goblin|No Goblin|||March|Sports|Single-player, multiplayer|
10116|iNK Stories|iNK Stories|Unity||April|Adventure, interactive drama|Single-player|
10117|Modesty||||March|Shoot 'em up|Single-player, cooperative|
10118|Giant Squid Studios|505 Games|Unreal Engine 4||August|Adventure, art game, simulation|Single-player|
10119|Crows Crows CrowsSquanchtendo|Crows Crows Crows|Unity||October|Exploration game|Single-player|
10120|Vertigo Digital Entertainment|Soedesco|Unreal Engine 3  Unity 5 (Origins)||Episode 1: 2009  Episode 2: 2011  Episode 3: 2012  Chronicles: 2014  Origins: 2016|Adventure|Single-player|
10121|Three One Zero|505 Games|Unreal Engine 4||March|Adventure|Single-player|
10122|MCF|Square Enix|||February|Action role-playing||Mana
10123|||||2016|||
10124|Artefacts Studio|Anuman / Kalypso|Unity||February|Adventure|Single-player|Agatha Christie
10125||||||Idol||
10126|Acquire|JP: AcquireNA: Xseed GamesEU: PQube|Unity||April|Action role-playing[1]|Single-player|Akiba's Trip
10127|Acquire|Acquire||||||
10128|Maximum Games|Maximum Games|||March|Stealth action|Single-player|
10129|Housemarque|Sony Interactive Entertainment|||April|Shooter, role-playing|Single-player, multiplayer|
10130|Milton Guasti||GameMaker Studio||August|Action-adventure|Single-player|Metroid (unofficial)
10131|SCS Software|SCS Software|||February|Vehicle simulation|Single-player|Truck Simulator
10132|Tag GamesRovio Entertainment|Rovio Entertainment|||April|Pinball|Single player|Angry Birds
10133|Bandai Namco Studios|Rovio Entertainment|||December|Puzzle game||
10134||||||||
10135|YCJYStage Clear Studios (Xbox One, PlayStation 4)|YCJY (Windows, OS X, Linux)Digerati Distribution (Xbox One, PlayStation 4)|GameMaker: Studio||January|Metroidvania|Single-player|
10136|Lince Works|WW: Lince Works (digital)PAL: Merge GamesNA: Maximum Games|Unity||February|Action-adventure, stealth|Single-player, Multi-player|
10137|MAD Virtual Reality Studio|MAD Virtual Reality Studio|Unity||November|Horror game|Single-player|
10138||||||||
10139|||||August|MMORPG||
10140|Vertigo GamesJaywalkers Interactive|Vertigo Games|||December|First-person shooter|Single-player, Multiplayer|
10141|Taito|JP: TaitoWW: Square Enix|Unity||May|Block breaker,shoot'em up|Single-player|ArkanoidSpace Invaders
10142|Shin'en Multimedia|Shin'en Multimedia|||WW: 2010|||
10143|Oxide GamesStardock Entertainment|Stardock Entertainment|||March|Real-time strategy|Single-player, multiplayer|
10144|Gameloft MadridGameloft Barcelona[a]|Gameloft|||October|Racing|Single-player, online multiplayer|Asphalt
10145|Blue Byte|Ubisoft|Unity||February|Action role-playing|Single-player|Assassin's Creed
10146|Polygon Games|NHN Corporation, Webzen|CryEngine 3[1]||March|MMORPG||
10147|Code Mystics|Atari|Unity||March|||
10148|Gust Co. Ltd.|Koei Tecmo|||March|Role-playing|Single-player|Atelier
10149|Trion Worlds|Trion Worlds|||October|Turn-based tactics PvP Free-to-play|Multiplayer|
10150|Omega Force|Koei Tecmo|||February|Action, hack and slash|Single-player, multiplayer|Attack on Titan
10151|GameCoder Studios  Renderfarm Studios|Bandai Namco Entertainment|GC Engine||January|First-person shooter  puzzle video game|Single-player|
10152|Dylan Fitterer|Dylan Fitterer|||April|Indie|Single-player|
10153|Kiro'o Games|Kiro'o Games, Plug-In Digital (Steam)|||April|Action role-playing|Single-player|
10154|Spiderweb Software|Spiderweb Software |||September|Role-playing video game|Single-player|
10155|Mothership Entertainment|Team17[1]|Unreal Engine 4[2]||July|City-building, strategy|Single-player|
10156|Inti Creates|Inti CreatesYacht Club Games (retail)|||August|Action, platform|Single-player|
10157|Semaphore|Semaphore|Unity||November|Survival|Single-player, multiplayer|
10158|Beamdog|Beamdog|Infinity Engine||March|Role-playing|Single-player, multiplayer|Baldur's Gate
10159|Stoic Studio|Versus Evil|||April|Tactical role-playing|Single-player|
10160|Rocksteady Studios|Warner Bros. Interactive Entertainment|Unreal Engine 4||April|Adventure, virtual reality|Single-player|Batman: Arkham
10161|Telltale Games|Telltale Games|Telltale Tool||August|Graphic adventure|Single-player|Batman
10162||PONOS Corporation|||June|Tower Defense||
10163|Shirogumi NMD|||PlayStation Vita||Action||
10164|Midjiwan AB|Midjiwan AB|||February|Turn-based strategy|"Single-player video game
multi-player video game"|
10165|Gearbox Software|2K Games|Unreal Engine 3||May|First-person shooter|Single-player, multiplayer|
10166|EA DICE|Electronic Arts|Frostbite 3||October|First-person shooter|Single-player, multiplayer|Battlefield
10167|Tindalos Interactive|Focus Home Interactive|Unreal Engine 4||April|Real-time tactics|Single-player, multiplayer|Warhammer 40,000
10168|Rebellion Developments|Rebellion Developments|||May|Vehicular combat, first-person shooter|Single-player, multiplayer|
10169||||||Tabletop game||
10170|Warm Lamp Games|Alawar Entertainment|Unity 3D||November|Adventure, strategy|Single-player|
10171|Omega Force|Koei Tecmo|||February|Action role-playing, hack and slash|Single-player|Dynasty WarriorsBerserk
10172|Pixelbomb Games|Sold Out|Unreal Engine 4||June|Third-person shooter||
10173|Blind Squirrel Games[a]|2K Games|||August|First-person shooter|Single-player|BioShock 
10174|||||February|Puzzle game|Single-player|
10175|Dowino|Plug In Digital|||April|Action-adventure||
10176|Interceptor Entertainment|3D Realms|Unreal Engine 3||January|Top-down shooter|Single-player|
10177|Plastic Studios|Sony Interactive Entertainment|||August|Platform, art game|Single-player|
10178|HAL Laboratory|Nintendo|||January|Puzzle, platformer|Single-player|
10179|Napoleon Games||Unity||March|Role-playing video game|Single player|Gates of Skeldal
10180|Capcom|Capcom|||February|Role-playing|Single-player, multiplayer|Breath of Fire
10181||Stellar Jockeys|||June|Real-time tactics|Single-player|
10182|Shade|D3 Publisher|||April|Third-person shooter||
10183||Wales Interactive|Unity||April|Adventure, horror|Single-player|
10184|Darjeeling, Nova Productions|Arte|Unity||February|Exploration game|Single-player|
10185|Aquria|Atlus USAJP: FuRyuOverdoseNIS AmericaJP: FuRyu|Unreal Engine 4[a]||March|Role-playing||
10186|Infinity Ward|Activision|IW Engine||November|First-person shooter|Single-player, multiplayer|Call of Duty
10187|Raven Software[a]|Activision|||November|First-person shooter|Single-player, multiplayer|Call of Duty
10188|Magic Pockets|NA: GameMill EntertainmentEU: Maximum Games|||October|Beat 'em up|Single-player, multiplayer|
10189||Crosse Studios|||March|Sports|Single-player, multiplayer|
10190|Wolf & Wood Interactive Ltd.|Wolf & Wood Interactive Ltd.|||April|Adventure||
10191||USC Games Publishing|Unity||July|Stealth game|Local multiplayer|
10192|Hyperbolic Magnetism|Noodlecake Studios|Unity 3D||April|Action|Single-player|
10193|Blue Byte|Ubisoft|||August|Real-time strategy, Action role-playing|Single-player|
10194|Arc System Works|JP: Arc System WorksWW: Aksys Games|||May|Visual novel, adventure|Single player|
10195||||||||
10196|Firaxis Games|2K Games|||February|Turn-based strategy, 4X|Single-player, multiplayer|Civilization
10197|Supercell|Supercell|||March|Real-time strategy|Multiplayer|
10198||Crytek|CryEngine||April|Platform||
10199|Gamesoft||||October|Puzzle, platform|Single-player|
10200|Landfall Games|tinyBuild|Unity||September|Platform|Single-player|
10201|Oxeye Game Studio|Mojang[1]Microsoft Studios[2]|||February|Action|Single-player, multiplayer|
10202|Idea Factory|JP: Idea FactoryNA/EU: Aksys Games|||July|Visual novel|Single-player|
10203|GSC Game World|GSC Game World|||September|Real-time strategy|Single-player, multiplayer|
10204||Butterscotch Shenanigans|||January|Action-adventure, role-playing|Single-player|
10205|Dopterra|Nicalis|||October|Role-playingside-scroller|Single-player|
10206|Mojang|Mojang|||April|Turn-based strategy|Single-player|
10207|OmiyaSoft|JP: NintendoWW: NIS America|||July|Board game, collectible card game|Single-player, multiplayer|
10208|Spike Chunsoft|Spike Chunsoft|Unreal Engine 4||March|Adventure|Single-player|Danganronpa
10209|NHN PlayArt|||Android, iOS||||
10210|Konami, Bemani|Konami|||March|Music, exercise|Single-player, multiplayer|Dance Dance Revolution
10211|Three Fields Entertainment||Unreal Engine 4[1]||June|Sports|Single player, multiplayer|
10212|Compile Heart|Idea Factory|||April|Role-playing|Single-player|
10213|FromSoftware|Bandai Namco Entertainment JP: FromSoftware|||March|Action role-playing|Single-player, multiplayer|Souls
10214|Paperash Studio||Unity||October|Adventure, puzzle|Single-player|Dark Train
10215|Red Hook Studios|Merge Games|||January|Role-playing, dungeon crawl|Single-player|
10216||Daniel Wright|Microsoft XNA||January|Action role-playing|Single-player|
10217|Behaviour Interactive|Starbreeze Studios (PC through 2017)Behaviour Interactive (PC from 2018)505 Games (PS4 and Xbox One)Koch Media (Android)|Unreal Engine 4||June|Survival horror|Multiplayer|
10218||Koei TecmoDigital Touch (South Korea)|||March|Sports|Single-player|Dead or Alive
10219|Capcom Vancouver|Microsoft StudiosCapcom (PC/PS4)|||December|Action-adventure|Single-player, Multiplayer|Dead Rising
10220||||||Horror mystery|Single-player|
10221|ACE Team|Atlus USA|Unreal Engine 3||January|Top-down shooter|Single-player|
10222|Freshly Squeezed|SOEDESCO|Unity||January|Adventure|Single-player|
10223||Cowcat|GameMaker: Studio||May|Point and click|Single-player|
10224|Daedalic Entertainment|Daedalic Entertainment|||March|Point-and-click adventure||Deponia
10225|Sylvain Seccia|Sylvain Seccia|||May|Adventure|Single-player|
10226|Bungie|Activision|||September|Action role-playing, first-person shooter|Multiplayer|
10227|Creatures|NintendoThe Pokémon Company|||February|Adventure|Single-player|
10228|Square Enix Montreal|Square Enix|Unity[1]||August|Puzzle|Single-player|Deus Ex
10229|Eidos Montréal[a]|Square Enix[b]|||August|Action role-playing, first-person shooter, stealth|Single-player|Deus Ex
10230|Sorath|Sorath|||February|First-person shooter|Single-player|
10231|B.B. Studio[1]|Bandai Namco Entertainment|Unity[2]||January|Role-playing|Single-player|Digimon
10232|Arkane Studios|Bethesda Softworks|||November|Action-adventure, stealth|Single-player|
10233|Headstrong Games|Nintendo|||May|Edutainment|Single-player|Art Academy
10234|KAVA Game Studios|KAVA Game Studios|Unity Engine[1]||September|Real time strategy||
10235|Big Ant Studios|Tru Blu Entertainment|||January|Sports|Single-player, Cooperative, Multiplayer|Don Bradman Cricket
10236|id Software[a]|Bethesda Softworks|id Tech 6||May|First-person shooter|Single-player, multiplayer|Doom
10237|Ganbarion|Bandai Namco Entertainment|||February|Role-playing|Single player|Dragon Ball
10238|Dimps|Bandai Namco Entertainment|||September|Fighting, role-playing|Single-player, multiplayer|Dragon Ball
10239|Square Enix Business Division 5|Square Enix[a]|PhyreEngine[3]||January|Action role-playing, sandbox|Single-player|Dragon Quest
10240|Omega Force|Square Enix|||March|Action role-playing, hack and slash|Single-player, multiplayer|Dragon Quest
10241|Tose|Square Enix|||March|Role-playing|Single-player, multiplayer|Dragon Quest Monsters
10242|Red Thread GamesBlink Studios|Deep Silver|Unity||March|Adventure|Single-player|The Longest Journey 
10243|Counterplay Games|Bandai Namco Entertainment|||April|Collectible card game, Turn-based Strategy|Multiplayersingle-player |
10244|Venture Moon Industries, Autumn Moon Entertainment (licensor)|Alliance Digital Media|Unity||October|Adventure|Single-player|
10245|||GameMaker: Studio||December|RPG, roguelike, strategy, adventure|Single-player, Local Co-Op|
10246|||||May|Strategy|Single-player|
10247||THQ Nordic|||December|Tactical role-playing game|Single-player|
10248|Techland|Warner Bros. Interactive Entertainment|Chrome Engine 6||February|Action role-playing, survival horror|Single-player, multiplayer|
10249|Honeybee Black|||PlayStation Vita||||
10250|Omega Force[1]|Koei Tecmo|||January|Role-playing|Single-player|
10251|EA Canada|EA Sports|Ignite||March|Fighting, sports|Single-player, multiplayer|
10252|Ubisoft Montreal|Ubisoft|||October|Simulation, racing|Single-player, multiplayer|
10253|||||2016|massively multiplayer online (MMO) game||
10254|Insomniac Games|Oculus Studios|||June||Single-player|
10255|JDJCFuzzyeyes Limited[1]|Fuzzyeyes Entertainment[1]|||September|Action-adventure[1][3]|Single-player|Edge of Twilight
10256||Pixel Hero Games|||August|Action-adventure game|Single-player|Warhammer 40,000
10257||505 Games|||September|RPG||
10258||||||||
10259|SureAI||Creation Engine||July|Action role-playing|Single-player|
10260|||||2016|Simulation||
10261|Dodge Roll|Devolver Digital|Unity||April|Bullet hell, roguelike|Single-player, multiplayer|
10262|Fishing Cactus|Plug In Digital|||March|Action-adventure, typing|Single-player|
10263|Dire Wolf Digital|Dire Wolf Digital|||October|Collectible card game|Single-player, multiplayer|
10264|Atlus|JP: AtlusNA: Atlus USAPAL: Deep Silver|||August|Role-playing, dungeon crawler|Single-player|Etrian Odyssey
10265|CCP Games|CCP GamesOculus VR[1]|Unreal Engine 4[2]||March|Vehicular combatfirst-person shooter|Multiplayer[3]|EVE Online
10266||Analgesic Productions|HaxeFlixel||November|Platformeraction-adventure|Single-player|
10267|Ocelot Society|Ocelot Society|||September|Adventure, exploration|Single-player|
10268||||||||
10269|||||2016|Adventure||
10270|Codemasters Birmingham|Codemasters|EGO Engine 3.0||April|Racing|Multiplayersingle-player |Formula One
10271||Bethesda Softworks |Creation Engine ||March|Action role-playing |Single-player |Fallout 
10272|Bethesda Game Studios |Bethesda Softworks |Creation Engine ||May|Action role-playing|Single-player |Fallout 
10273|Bethesda Game Studios |Bethesda Softworks |Creation Engine ||August|Action role-playing|Single-player |Fallout 
10274|MediatonicWB Games San Francisco|Warner Bros. Interactive Entertainment|||November|Hidden object|Single-player|Wizarding World
10275|Northway Games, Radial Games|Northway Games|||April|Puzzle|Single-player|
10276|Ubisoft Montreal[a]|Ubisoft|||February|First-person shooter|Single-player|Far Cry
10277|"
Giants Software (2008-present)
"|"
Astragon Entertainment (2008-present)
Focus Home Interactive (2013-present)
Excalibur Publishing (2008-2012)[citation needed]
"|||May|Simulation|Single-player, multiplayer|
10278|Marvelous|Xseed GamesJP: Marvelous|||January|Action|Single-player|
10279|EA VancouverEA Bucharest[1]|EA Sports|Frostbite 3 (PS4, X1, PC)||September|Sports|Single-player, multiplayer|FIFA
10280|EA MobileEA Canada|EA Sports|||October|Sports|Single-player, multiplayer|FIFA
10281|Square Enix Business Division 2|Square Enix|Luminous Studio||March|Action role-playing|Single-player|Final Fantasy (main)Fabula Nova Crystallis Final Fantasy (sub)
10282|"
Perfect World
Square Enix
"|Perfect World[a]|Unity||January|Role-playing|Multiplayer|"
Fabula Nova Crystallis
Final Fantasy
"
10283|Do My Best Games|tinyBuild|Unity||February|Side-scrolling shooter, train simulator|Single-player|
10284|Campo Santo|PanicCampo Santo|Unity||February|Adventure|Single-player|
10285|Scott Cawthon|Scott Cawthon|Clickteam Fusion 2.5||January|Survival horror|Single-player|Five Nights at Freddy's
10286|The Molasses Flood|Curve Digital|Unreal Engine 4||January|Roguelike, survival, adventure|Single-player|
10287|Scott Cawthon|Scott Cawthon|Clickteam Fusion 2.5||January|Role-playing|Single-player|Five Nights at Freddy's
10288|Sports Interactive|Sega|||November|||Football Manager
10289||BetaDwarf|Unity||March|Action role-playing|Single-player|
10290|Playground Games[a]|Microsoft Studios|||September|Racing|Single-player, Multiplayer|Forza
10291|Sassybot|Sassybot|||May|Casual, indie|Single-player|
10292|Twinbeard Inc.|Adult Swim Games|||March|Edutainment|Single-player|
10293||Through Games|||July|Puzzle platformer||
10294|The Game Bakers|The Game Bakers|Unity||January|Action, shoot 'em up, hack and slash|Single-player|
10295|Cloudhead Games|Cloudhead Games|Unity 5||April|Adventure, Puzzle|Single-player|
10296|Gameloft Montreal[a]|Gameloft|Havok||June|Action-adventure|Single-player, Multi-player (Gang)|Gangstar
10297|Playrix|PlayrixPlarium|||January|Puzzle|Single-player|
10298|The Coalition|Microsoft Studios|Unreal Engine 4||October|Third-person shooter|Single-player, multiplayer|Gears of War
10299|Felistella|Compile Heart|||August|Role-playing||Genkai Tokki
10300|Behdad Sami Interactive|Behdad Sami Interactive|Unity||June|ActionOpen World|Single-player|
10301|unepic_fran|unepic_fran|||June|Metroidvania|Single-player|
10302|Dreadlocks Ltd|Dreadlocks Ltd|Unity[1]||WW: Cancelled|Survival horror|Single-player|
10303|FireForge Games|Activision|Unreal Engine 4||July|Twin Stick Shooter|Single-player, multiplayer|Ghostbusters
10304|Minato Soft|||Windows||Visual novel||
10305|MicaTeam|Digital Sky|Unity||January|Strategy Moe Role-playing game|Single-player,|
10306||Future Tech Lab|||November|Otome game|Single-player|
10307|Art in Heart|Raw Fury|Unity||May|Roguelike|Single-player|
10308||Yukitama Creative Industries|Unity||March|Turn-based strategy|Multiplayersingle-player |
10309|Crate Entertainment|Crate Entertainment|PathEngine||February|Action role-playing, hack and slash|Single-player, multiplayer|
10310|Genki|||Android, iOS||Role-playing||
10311|Ubisoft Reflections[a]|Ubisoft|Unity||August|Adventure, platforming|Single-player|
10312||||||||
10313|BykingTaitoUbisoft|||Arcade, Microsoft Windows||Third-person shooterLight gun shooterHero shooter||
10314|Trickster Arts|Trickster Arts|Unity||September|Strategy|Single-player, multiplayer[1]|
10315|Drizzly Bear|Drizzly Bear|||September|Simulator MUD|Multiplayer|
10316||Massive Damage, Inc.|||September|Strategy, Turn-based tactical, RPG||
10317||Sony Computer Entertainment|Unreal Engine 4||January|Vehicular combat|Single-player, multiplayer|
10318|Key|VisualArt's|||September|Visual novel|Single-player|
10319|SegaCrypton Future Media|Sega|||March|Rhythm game|Single-player|Hatsune Miku: Project DIVA
10320|Double Fine Productions|Adult Swim Games|||July|Metroidvania|Single-player|
10321|Paradox Development Studio|Paradox Interactive|Clausewitz Engine||June|Grand strategy, war|Single-player, multiplayer|
10322|Billy Goat Entertainment Ltd|Billy Goat Entertainment Ltd|||February|Adventure, point-and-click|Single-player|
10323|Cryptozoic Entertainment||Unity||January|Massively multiplayer online gameTrading card game||
10324|IO Interactive|"
Square Enix
Feral Interactive (Linux, macOS)
Warner Bros. Interactive Entertainment (Definitive Edition)
"|||January|Stealth|Single-player|Hitman
10325|narayana games|narayana games|Unity ||April|Music / Rhythm|Single-player|
10326|Dambuster Studios|Deep Silver|CryEngine||May|First-person shooter|Single-player, multiplayer|
10327|Blackbird Interactive|Gearbox Software|Unity[1]||January|Real-time strategy|Single-player, multiplayer|
10328|miHoYo||||February|Action role-playing, hack and slash|Single-player, multiplayer|Houkai Series
10329|Marauder Interactive|Marauder Interactive|||November|Action|Single-player|
10330||Curve Digital|||June|AdventurePuzzle platformer[1]|Single-player|
10331|No Brakes Games[a]|Curve Digital[b]|Unity||May|Platform-puzzle|Single-player, multiplayer|
10332|Heart MachineAbylight Studios (Switch, iOS)|Heart MachineAbylight Studios (Switch, iOS)|GameMaker Studio||March|Action role-playing, Adventure|Single-player, multiplayer|
10333|Tokyo RPG Factory|Square Enix|Unity[3]||February|Role-playing|Single-player|
10334|Schell Games|Schell Games|||WW: 2016|Action|Single-player|
10335||X.D. Network Inc.|||November|Hack-and-slash|Single-player|
10336|Witchcraft|D3 Publisher|||October|Action-adventure||
10337|Bandai Namco Entertainment  Tri-Crescendo[1]|Bandai Namco Entertainment|||July|Simulation|Singer-player|The Idolmaster
10338|Arcen Games||Unity||August|Action||
10339|Loiste Interactive|Loiste Interactive|Source||January|First-person, adventure|Single-player|
10340|Playdead|Playdead|Unity||June|"
Puzzle-platformer, adventure
"|Single-player|
10341|Fugitive Games|Iceberg Interactive|Unreal Engine 4[1]||March|Space combat simulator|Single-player|
10342|Front Wing|||Windows, PlayStation Vita, PlayStation 4||Visual novel||
10343|Ludosity|Nicalis|||November|Action-adventure, role-playing|Single-player|
10344|Owlchemy Labs|Owlchemy Labs|Unity||April|Simulation|Single-player|
10345|Skygoblin|Skygoblin|Adventure Game Studio (Chapter One freeware version)[1]||January|Adventure|Single-player|
10346|Ubisoft ParisUbisoft Pune[1]Ubisoft ReflectionsUbisoft Milan|Ubisoft|||March|Dance|Single-player |Just Dance
10347|iNiS[1]|Ubisoft[1][2][3]|Unity||September|||Just Dance
10348|EightingBandai Namco Studios|Bandai Namco Games||||||
10349|Kadokawa Games  KanColle Unei Chinjyufu Committee|DMM.com|||April|Online web browser gameFleet raising simulation||
10350||Raw Fury|Adventure Game Studio||May|Point-and-click adventure|Single-player|
10351||Glu Mobile|||February|Casual, role-playing game||
10352|Keybol||||January|Platform game|Single-player|
10353|Tripwire Interactive|Tripwire Interactive|Unreal Engine 3||August|First-person shooter, survival horror|Single-player, multiplayer|
10354|||||December|"
Adventure game
"|Single-playerMultiplayer|
10355|SNKAbstraction Games (Steam)|JP: SNKNA: Atlus USAEU: Deep Silver|||June|Fighting|Single-player, multiplayer|The King of Fighters
10356||GloHow (formerly)Vespa[1]|Unity 3D||February|||
10357|HAL Laboratory|Nintendo|||April|Action, platform|Single-player, multiplayer|Kirby
10358|Valve Corporation|Valve Corporation|UnitySource 2 (Robot Repair)||April|Action|Single-player|Portal
10359|Nippon Ichi Software|Nippon Ichi Software|||June|Role-playing, dungeon crawler|Single-player|
10360|Love Conquers All Games|Christine Love |Ren'Py||October|Visual novel|Single-player|
10361|Daybreak Game Company|Daybreak Game Company|ForgeLight||June|Massively multiplayer online role-playing game|Multiplayer|
10362||Noxy Games, Inc|Unity||June|Music, rhythm|Single-player|
10363|SIE Japan Studio genDESIGN|Sony Interactive Entertainment|||December|Action-adventure|Single-player|
10364|Happy Elements|||Android, iOS||||
10365|Bloober Team|Aspyr|Unity||February|Psychological horror|Single-player|
10366|UserJoy Technology|Nihon Falcom|Unity||August|Role-playing||The Legend of Heroes
10367|"
Tantalus
Nintendo EPD
"|Nintendo|||March|Action-adventure|Single-player|The Legend of Zelda
10368|Traveller's TalesTT Fusion (handheld)|Warner Bros. Interactive EntertainmentFeral Interactive (OS X)|||January|Action-adventure|Single-player, multiplayer|
10369|TT Fusion|Warner Bros. Interactive EntertainmentFeral Interactive (OS X)|||June|Action-adventure|Single-player, multiplayer|Lego Star Wars
10370|Grasshopper Manufacture|GungHo Online Entertainment|Unreal Engine 3||February|Hack and slash|Single-player|
10371||Team17|Unreal Engine 4||November|Shooting gallery|Single-player|
10372||Faber Interactive|Unreal Engine||August|survival horror game||
10373||Lichthund|||April|Action|Single-player|
10374|Flox Studios|Flox Studios||||||
10375||Curve Digital|Unity||December|Point and click adventure game|Single-player|
10376|Tuque Games|Perfect World Entertainment|||August|Top-down shooter|Single-player, multiplayer|
10377|UmbrellaGames From Outer Space|Umbrella|Unity||April|Arcade|Single-player|
10378|IGG|IGG|||February|Strategy, massively multiplayer online game|Multiplayer|
10379||Oculus Studios|||March|Platform|Single-player|
10380|MobcastResonair|Mobcast|||July|Puzzle|Single-player, multiplayer|Lumines
10381||Rising Star Games|||May|3D platformerPlatformerPuzzle|Single-player|
10382|EA Tiburon|EA Sports|Ignite||August|Sports|Single-playerMultiplayer|Madden NFL
10383|Hangar 13[a]|2K Games|||May|Action-adventure|Single-player|Mafia
10384||Google|||October|Adventure, strategy|Single-player|
10385|||||December|Adventure game||
10386|Perfectly Paranormal|Curve Digital|Unity||August|Adventure|Single-player, multiplayer|
10387|Sega Sports R&DArzest/Spike Chunsoft (3DS)|Nintendo|Hedgehog Engine (Wii U)||February|Sports, party|Single-player, multiplayer|Mario & Sonic
10388|NDcube|Nintendo|||October|Party|Single-player, multiplayer|Mario Party
10389|HB Studios|Maximum Games|Unity||October|Sports (Snowboarding)|Single-player, multiplayer|
10390|TinyCo|TinyCo|||February|City Building|Single-player|
10391|NGD Studios|Wargaming|||August|4X, turn-based strategy|Single-player, Multiplayer|Master of Orion 
10392|Studio MXM|NCSoft |||June|Dungeon crawlhack and slashmultiplayer online battle arena |Cooperativemultiplayersingle-player |
10393|Mages., Love & Art|||iOs, Android||Visual novel||
10394|Next Level Games|Nintendo|||August|First-person shooter|Single-player, multiplayer|Metroid
10395||Industrial Toys|Unreal Engine 4||August|First-person shooter|Single-player, Multiplayer|
10396|ComceptInti Creates|Deep SilverJP: Spike Chunsoft[1]|Unreal Engine 3||June|Action, platform|Single-player, multiplayer|
10397||||||||
10398|Nintendo EPD|Nintendo|||July|Role-playing|Single-player|
10399|Nintendo Software Technology|Nintendo|||January|Puzzle|Single-player|
10400|EA DICE|Electronic Arts|Frostbite 3||June|Action-adventure, platform|Single-player, multiplayer|
10401|SCE San Diego Studio|Sony Computer Entertainment|||March|Sports|Single-player, multiplayer|MLB: The Show
10402|Moonton|Moonton|Unity[1]||July|Multiplayer online battle arena, battle royale||
10403||Bandai Namco Entertainment|||July|Fighting|Single-player, Multiplayer|
10404|Bombservice|Playism, Dangen Entertainment|GameMaker Studio||January|Metroidvania|Single-player|Momodora
10405|Marvelous|JP: CapcomWW: Nintendo Android, iOSWW: Capcom|||September|Role-playing||Monster Hunter
10406|Kitfox Games|Kitfox Games|||March|Action RPG, Roguelike|Cooperativemultiplayersingle-player |
10407|Le Cartel Studio|Devolver Digital|Unity||September|Beat 'em up|Single-player, multiplayer|
10408|Microïds|Anuman|Unreal Engine 4[2]||November|Racing|Single-player, multiplayer|
10409||PCThose Awesome GuysPlayStation 4Reverb Communications, Inc.[1]|Löve||January|Action, Puzzle|Multiplayer|
10410||||||||
10411||Zillion Whales|Unity||October|Real-time strategy|Multiplayersingle-player |Mushroom Wars
10412|||||2016|Otome game||
10413|Cheritz|Cheritz|||July|Romance|Single-player|
10414|CyberConnect2|Bandai Namco Entertainment|||February|Fighting Game, action|Single-player, multiplayer|Naruto: Ultimate Ninja
10415|Monster Games|Dusenberry Martin Racing|Unity||September|Racing, Sports|Single player, multiplayer|
10416|Visual Concepts|2K Sports|||September|Sports|Single-player, multiplayer|NBA 2K
10417|Harebrained Schemes|Bandai Namco Entertainment|Unity[1]||July|Action role-playing|Single-player, multiplayer|
10418||10tons|||April|Twin-stick shooter|Single-player, multiplayer|
10419|Digital Cybercherries|Digital Cybercherries|Unreal Engine 4||August|Simulation|Multiplayer|
10420|EA Canada|EA Sports|Ignite||September|Sports (ice hockey)|Single-player, multiplayer|NHL
10421|Nude Maker|Playism Games|||January|Graphic adventure, survival horror|Single-player|
10422|Zeenoh, 7 Seals|Zeenoh|Unity||June|Survival horror|Single-player|
10423|Otomate|Idea Factory|||April|Visual novel|Single-player|
10424|Hello Games|Hello Games|||July|Action-adventure, survival|Single-player, multiplayer[a]|
